,Id,HubId,RelativeToMaxCap
366,3232,C003_2022-04-14,0.8237791932059447
367,3236,C003_2022-03-08,0.8131634819532909
368,3238,C003_2022-03-30,0.733481493883132
369,3241,C003_2022-01-11,0.7839702760084926
370,3244,C003_2022-01-13,0.781316348195329
371,3245,C003_2022-04-21,0.8657112526539278
372,3246,C003_2022-04-05,0.8550955414012739
373,3253,C003_2022-02-09,0.8280254777070063
374,3254,C003_2022-04-29,0.9363057324840764
375,3256,C003_2022-04-25,0.8657112526539278
376,3257,C003_2022-03-23,0.7845010615711253
377,3258,C003_2022-03-31,0.9708067940552016
378,3259,C003_2022-03-10,1.0
379,3260,C003_2022-01-25,0.8184713375796179
380,3261,C003_2022-01-10,0.7903397027600848
381,3262,C003_2022-04-11,0.8434182590233545
382,3264,C003_2022-04-13,0.8481953290870488
383,3265,C003_2022-03-29,0.998407643312102
384,3266,C003_2022-04-12,0.8386411889596603
385,3267,C003_2022-03-22,0.774416135881104
386,3268,C003_2022-03-14,0.8588110403397028
387,3269,C003_2022-02-15,0.7839702760084926
388,3270,C003_2022-01-19,1.0
389,3271,C003_2022-03-15,0.8354564755838642
390,3272,C003_2022-01-31,0.8773885350318471
391,3273,C003_2022-04-27,0.8248407643312102
392,3274,C003_2022-03-16,0.8439490445859873
393,3275,C003_2022-02-21,0.8386411889596603
394,3276,C003_2022-04-20,1.0
395,3277,C003_2022-03-21,0.8221868365180467
396,3278,C003_2022-04-26,0.8322717622080679
397,3301,C004_2022-04-27,0.6375196213314814
398,3309,C004_2022-03-16,0.15523206203356385
399,3335,C004_2022-01-19,0.785009306364234
400,3336,C004_2022-02-09,0.7835811713872453
401,3363,C004_2022-03-01,0.6941657176594346
402,3369,C004_2022-01-18,0.8198639744086588
403,3381,C004_2022-04-22,0.6996887757569893
404,3390,C004_2022-01-26,0.6083686770595712
405,3391,C004_2022-03-08,0.7885494086916501
406,3393,C004_2022-03-30,0.8755952947928994
407,3394,C004_2022-04-26,1.0
408,3397,C004_2022-01-17,0.7811044099145299
409,3399,C004_2022-01-25,0.7289182751762971
410,3400,C004_2022-02-15,0.776749774884944
411,3401,C004_2022-01-12,1.0
412,3402,C004_2022-02-08,0.5313178697612587
413,3405,C004_2022-02-16,0.5988223952945813
414,3406,C004_2022-04-19,0.6949925232727318
415,3413,C004_2022-04-28,0.7966092579618671
416,3417,C004_2022-01-21,0.6331417185798817
417,3418,C004_2022-01-13,0.9264989703090073
418,3421,C004_2022-01-14,0.7698606002030638
419,3426,C004_2022-03-07,0.7158032897355375
420,3430,C004_2022-01-31,0.9368514466666666
421,3432,C004_2022-01-24,0.8288957098583741
422,3434,C004_2022-04-06,0.7457096398762908
423,3435,C004_2022-03-22,0.6534873216831032
424,3437,C004_2022-04-25,0.45275612471373333
425,3439,C004_2022-03-17,0.6676450592359761
426,3449,C004_2022-02-14,0.7597005569884953
427,3453,C004_2022-01-20,0.8139792671794872
428,3454,C004_2022-03-14,0.363129234132974
429,3455,C004_2022-03-29,0.7908638584483892
430,3456,C004_2022-04-05,0.7679777398087438
431,3457,C004_2022-02-17,0.8187795574011926
432,3459,C004_2022-02-22,0.7243899911768574
433,3460,C004_2022-02-01,0.8444524838658777
434,3462,C004_2022-02-21,0.560210099315475
435,3463,C004_2022-02-11,0.9444853289283367
436,3464,C004_2022-01-27,0.6451813476037135
437,3465,C004_2022-04-12,0.7538018335700197
